metric,type,value
config,top_k,10.0
users,Ranking_users,4983.0
users,Hybrid_users,4983.0
users,cold_users,0.0
users,Evaluated_users,4983.0
Precision@K,Baseline,0.16297411198073453
Precision@K,Hybrid,0.023459763194862534
Precision@K,Ranking,0.13255067228577164
Recall@K,Baseline,0.0931499542061362
Recall@K,Hybrid,0.01530916947263354
Recall@K,Ranking,0.07651040433744938
NDCG@K,Baseline,0.16459200506447272
NDCG@K,Hybrid,0.029020533059161278
NDCG@K,Ranking,0.15940073939230684
HitRate@K,Baseline,0.6762994180212724
HitRate@K,Hybrid,0.1928557094120008
HitRate@K,Ranking,0.6104756170981337
